track_id,search_type,team_id,source_row,delta_seconds,distance_m,speed_mps,grade,quality_flag
hasty_T01_S01,hasty,1,111,20.0,11.08587595894488,0.554293797947244,0.0902048700259115,CANDIDATE
hasty_T01_S01,hasty,1,112,17.0,10.078439487597452,0.5928493816233795,0.09922170999097649,CANDIDATE
hasty_T01_S01,hasty,1,113,19.0,11.04290886387753,0.5812057296777647,0.0,CANDIDATE
hasty_T01_S01,hasty,1,114,22.0,11.175325665808778,0.5079693484458535,-0.08948285087203571,CANDIDATE
hasty_T01_S01,hasty,1,115,22.0,7.35736538953966,0.33442569952453,0.0,CANDIDATE
hasty_T01_S01,hasty,1,116,18.0,8.401607295425071,0.4667559608569484,-0.11902484427527697,CANDIDATE
hasty_T01_S01,hasty,1,117,21.0,6.460281869962222,0.30763246999820104,0.0,CANDIDATE
hasty_T01_S01,hasty,1,118,20.0,1.6082562971981567,0.08041281485990784,0.0,CANDIDATE
hasty_T01_S01,hasty,1,119,24.0,5.783373538025289,0.24097389741772038,0.0,CANDIDATE
hasty_T01_S01,hasty,1,120,17.0,5.6016202802677455,0.3295070753098674,-0.17851977641586983,CANDIDATE
hasty_T01_S01,hasty,1,121,17.0,4.500944422057268,0.264761436591604,0.0,CANDIDATE
hasty_T01_S01,hasty,1,122,23.0,3.4347079524329827,0.14933512836665142,0.0,CANDIDATE
hasty_T01_S01,hasty,1,123,18.0,7.291572033472388,0.40508733519291046,0.0,CANDIDATE
hasty_T01_S01,hasty,1,124,18.0,11.59781965784366,0.6443233143246477,-0.08622310309194153,CANDIDATE
hasty_T01_S01,hasty,1,125,22.0,14.634227279997706,0.6651921490908048,-0.06833295539743434,CANDIDATE
hasty_T01_S01,hasty,1,126,17.0,7.2453964917292355,0.4261997936311315,0.0,CANDIDATE
hasty_T01_S01,hasty,1,127,14.0,7.42347164357113,0.530247974540795,-0.13470786284554873,CANDIDATE
hasty_T01_S01,hasty,1,128,16.0,8.228261299645819,0.5142663312278637,0.0,CANDIDATE
hasty_T01_S01,hasty,1,129,19.0,3.7747262701935522,0.1986698036943975,0.0,CANDIDATE
hasty_T01_S01,hasty,1,130,18.0,7.073318654893448,0.3929621474940805,0.0,CANDIDATE
hasty_T01_S01,hasty,1,131,16.0,4.279725251081624,0.2674828281926015,0.0,CANDIDATE
hasty_T01_S01,hasty,1,132,15.0,8.380908161829154,0.5587272107886103,-0.11931881136157772,CANDIDATE
hasty_T01_S01,hasty,1,133,18.0,6.609464512224964,0.3671924729013869,0.0,CANDIDATE
hasty_T01_S01,hasty,1,134,15.0,4.938998675390559,0.3292665783593706,0.2024701899562513,CANDIDATE
hasty_T01_S01,hasty,1,135,15.0,4.075511210151488,0.2717007473434325,0.0,CANDIDATE
hasty_T01_S01,hasty,1,136,25.0,3.619143286284475,0.144765731451379,-0.276308485433477,CANDIDATE
hasty_T01_S01,hasty,1,137,18.0,9.739338188656403,0.5410743438142446,0.0,CANDIDATE
hasty_T01_S01,hasty,1,138,17.0,7.551630902741753,0.4442135825142208,0.0,CANDIDATE
hasty_T01_S01,hasty,1,139,21.0,4.974160736929372,0.23686479699663676,0.0,CANDIDATE
hasty_T01_S01,hasty,1,140,13.0,7.513985237167668,0.5779988643975129,0.0,CANDIDATE
hasty_T01_S01,hasty,1,141,26.0,1.8948377573590682,0.07287837528304109,0.0,CANDIDATE
hasty_T01_S01,hasty,1,142,16.0,9.882244941423613,0.6176403088389758,0.0,CANDIDATE
hasty_T01_S01,hasty,1,143,20.0,7.137843005993442,0.35689215029967214,0.0,CANDIDATE
hasty_T01_S01,hasty,1,144,16.0,7.661837514577257,0.47886484466107854,0.0,CANDIDATE
hasty_T01_S01,hasty,1,145,22.0,8.338938649316692,0.3790426658780314,0.0,CANDIDATE
hasty_T01_S01,hasty,1,146,21.0,10.806066507011554,0.5145745955719787,0.0,CANDIDATE
hasty_T01_S01,hasty,1,147,22.0,12.51727588876822,0.5689670858531009,0.0,CANDIDATE
hasty_T01_S01,hasty,1,148,23.0,9.072003721542847,0.3944349444149064,0.0,CANDIDATE
hasty_T01_S01,hasty,1,149,14.0,5.783944733349058,0.4131389095249327,-0.5186771551779542,CANDIDATE
hasty_T01_S01,hasty,1,150,1.0,0.5228790970133937,0.5228790970133937,0.0,CANDIDATE
hasty_T01_S01,hasty,1,151,22.0,8.232899331988838,0.37422269690858356,-0.1214638925699615,CANDIDATE
hasty_T01_S01,hasty,1,152,16.0,6.110469269757958,0.3819043293598724,0.0,CANDIDATE
hasty_T01_S01,hasty,1,153,16.0,11.368659048280517,0.7105411905175323,-0.08796112151426053,CANDIDATE
hasty_T01_S01,hasty,1,154,18.0,18.91276278502331,1.0507090436124062,-0.10574869587978787,CANDIDATE
hasty_T01_S01,hasty,1,155,17.0,11.02173434792312,0.6483373145837129,-0.18145964481323848,CANDIDATE
hasty_T01_S01,hasty,1,156,24.0,3.8231069820914616,0.1592961242538109,0.0,CANDIDATE
hasty_T01_S01,hasty,1,157,19.0,3.4682322737519597,0.18253854072378736,0.0,CANDIDATE
hasty_T01_S01,hasty,1,158,32.0,2.1077292693785115,0.06586653966807848,0.0,CANDIDATE
hasty_T01_S01,hasty,1,159,28.0,5.069314724958756,0.1810469544628127,0.0,CANDIDATE
hasty_T01_S01,hasty,1,160,29.0,7.313647979801832,0.2521947579242011,0.0,CANDIDATE
hasty_T01_S01,hasty,1,161,21.0,6.981002428333575,0.3324286870635036,0.0,CANDIDATE
hasty_T01_S01,hasty,1,162,17.0,10.62341608083587,0.624906828284463,0.0,CANDIDATE
hasty_T01_S01,hasty,1,163,10.0,6.2879420947553335,0.6287942094755333,0.0,CANDIDATE
hasty_T01_S01,hasty,1,164,9.0,4.27466038850866,0.4749622653898511,-0.4678734257758798,CANDIDATE
hasty_T01_S01,hasty,1,165,17.0,12.414328967657948,0.7302546451563499,-0.08055207837694808,CANDIDATE
hasty_T01_S01,hasty,1,166,20.0,14.230658398795638,0.711532919939782,-0.2108124526588239,CANDIDATE
hasty_T01_S01,hasty,1,167,14.0,8.891202211150826,0.6350858722250591,-0.11247072963269898,CANDIDATE
hasty_T01_S01,hasty,1,168,19.0,12.91937144445749,0.6799669181293415,-0.1548062929066116,CANDIDATE
hasty_T01_S01,hasty,1,169,20.0,18.018902318220846,0.9009451159110423,-0.1664918288039321,CANDIDATE
hasty_T01_S01,hasty,1,170,25.0,18.16122406629837,0.7264489626519348,-0.16518710352608196,CANDIDATE
hasty_T01_S01,hasty,1,171,24.0,9.974237921767134,0.41559324674029724,-0.20051657236241868,CANDIDATE
hasty_T01_S01,hasty,1,172,22.0,6.8850011828315045,0.3129545992196138,0.0,CANDIDATE
hasty_T01_S01,hasty,1,173,21.0,12.198849949149931,0.5808976166261872,-0.0819749406024692,CANDIDATE
hasty_T01_S01,hasty,1,174,26.0,3.294935822362861,0.12672830086011005,-0.3034960478480218,CANDIDATE
hasty_T01_S01,hasty,1,175,26.0,17.230777020327476,0.6627221930895183,-0.058035688049371245,CANDIDATE
hasty_T01_S01,hasty,1,176,21.0,6.278612182902782,0.2989815325191801,0.0,CANDIDATE
hasty_T01_S01,hasty,1,177,38.0,3.3284197035069094,0.08758999219755025,0.0,CANDIDATE
hasty_T01_S01,hasty,1,178,35.0,3.3369638059580975,0.09534182302737422,0.0,CANDIDATE
hasty_T01_S01,hasty,1,179,23.0,8.510720990831338,0.3700313474274495,0.0,CANDIDATE
hasty_T01_S01,hasty,1,180,24.0,5.659652906713265,0.2358188711130527,-0.17668928050584834,CANDIDATE
hasty_T01_S01,hasty,1,181,19.0,9.439410037342329,0.4968110545969647,0.0,CANDIDATE
hasty_T01_S01,hasty,1,182,28.0,8.315007301999174,0.2969645464999705,-0.120264476467696,CANDIDATE
hasty_T01_S01,hasty,1,183,25.0,7.898579710949814,0.3159431884379926,0.12660503996860326,CANDIDATE
hasty_T01_S01,hasty,1,184,19.0,7.962591284164985,0.4190837517981571,0.0,CANDIDATE
hasty_T01_S01,hasty,1,185,25.0,14.160623396829685,0.5664249358731874,0.0,CANDIDATE
hasty_T01_S01,hasty,1,186,25.0,5.016745082499069,0.20066980329996276,0.0,CANDIDATE
